episode,score,reward,epsilon,loss,best_score_so_far
363,3,-56.550000000000004,0.20099667624491677,4.088216543197632,12
364,4,-204.19999999999996,0.200393686216182,4.757233646180895,12
365,4,-97.80000000000001,0.19979250515753347,4.46407816807429,12
366,5,-232.40000000000006,0.19919312764206087,4.568888512524691,12
367,9,-466.70000000000005,0.1985955482591347,4.964722644199025,12
368,6,-177.0,0.19799976161435728,6.672036409378052,12
369,15,-126.14999999999995,0.1974057623295142,5.232413627884605,15
370,6,-335.4,0.19681354504252566,4.260501972834269,15
371,3,-222.45000000000005,0.19622310440739807,3.6742350310087204,15
372,4,-190.6,0.19563443509417588,3.8283292651176453,15
373,7,-310.95000000000005,0.19504753178889336,3.5989090725779533,15
374,11,-417.2999999999999,0.19446238919352668,4.060220912098885,15
375,6,-341.74999999999994,0.1938790020259461,5.280022636055946,15
376,12,-585.0500000000002,0.19329736501986827,4.55387266476949,15
377,1,-158.55,0.19271747292480867,4.263344764709473,15
378,9,-454.4499999999999,0.19213932050603424,4.8319336331408955,15
379,3,-189.8,0.19156290254451613,4.062803030014038,15
380,3,-86.35,0.19098821383688258,4.03388911485672,15
381,3,-129.4,0.19041524919537192,4.64916501045227,15
382,3,-116.75,0.1898440034477858,4.370622515678406,15
383,2,-321.05,0.18927447143744244,4.213192886776394,15
384,1,-111.4,0.1887066480231301,6.345629930496216,15
385,5,-201.5,0.18814052807906073,3.7872532844543456,15
386,4,-233.25,0.18757610649482354,4.830290508270264,15
387,2,-82.25,0.18701337817533906,4.156701564788818,15
388,10,-341.64999999999986,0.18645233804081304,4.774951185498919,15
389,7,-320.75,0.1858929810266906,5.629413590711706,15
390,7,-161.29999999999998,0.18533530208361054,5.278049924156883,15
391,5,-381.9,0.18477929617735972,4.703525002797445,15
392,4,-111.65,0.18422495828882765,4.458922624588013,15
393,6,-453.0999999999998,0.18367228341396116,4.46690626276864,15
394,7,-387.40000000000003,0.18312126656371927,4.235599690013462,15
395,20,-553.95,0.1825719027640281,4.507350415718265,20
396,2,-315.09999999999997,0.182024187055736,4.262085288763046,20
397,13,-531.4000000000002,0.1814781144945688,4.04374631245931,20
398,6,-493.1999999999998,0.1809336801510851,4.7548084378242494,20
399,6,-293.3,0.18039087911063184,4.196845744337354,20
400,9,-455.4000000000002,0.17984970647329995,5.147520769726146,20
401,3,-250.6,0.17931015735388006,4.132207261191474,20
402,1,-111.30000000000001,0.17877222688181843,3.0983882546424866,20
403,5,-304.40000000000003,0.17823591020117296,4.092731187740962,20
404,2,-128.75,0.17770120247056945,4.86527144908905,20
405,2,-171.79999999999998,0.17716809886315774,6.05766749382019,20
406,2,-152.54999999999998,0.17663659456656827,6.1884177923202515,20
407,7,-313.89999999999986,0.17610668478286856,5.8037125170230865,20
408,2,-148.45000000000002,0.17557836472851995,4.179071855545044,20
409,4,-245.70000000000002,0.1750516296343344,4.635056066513061,20
410,13,-674.5000000000005,0.1745264747454314,4.612410068511963,20
411,7,-250.79999999999995,0.17400289532119512,4.69511911869049,20
412,3,-187.8,0.17348088663523153,4.026191779545376,20
413,3,-181.14999999999998,0.17296044397532584,3.6268759866555533,20
414,9,-325.20000000000005,0.17244156264339985,4.615613962474622,20
415,4,-308.04999999999995,0.17192423795546966,4.970871448516846,20
416,7,-345.85,0.17140846524160325,3.480061212006737,20
417,3,-152.9,0.17089423984587843,4.812858533859253,20
418,3,-173.1,0.1703815571263408,5.040482521057129,20
419,1,-174.79999999999998,0.16987041245496176,4.9573666254679365,20
420,6,-388.0,0.16936080121759686,4.640900380471173,20
421,8,-431.90000000000015,0.16885271881394406,4.295341503052485,20
422,4,-188.05,0.16834616065750224,5.5321022272109985,20
423,4,-271.05,0.16784112217552974,4.158790469169617,20
424,3,-215.59999999999997,0.16733759880900315,4.558845967054367,20
425,9,-364.29999999999995,0.16683558601257614,4.577097100019455,20
426,1,-163.15,0.16633507925453841,4.737396776676178,20
427,2,-146.0,0.1658360740167748,6.484895586967468,20
428,1,-139.25,0.16533856579472447,5.2138393719991045,20
429,5,-132.70000000000002,0.1648425500973403,4.6270520985126495,20
430,5,-91.8,0.1643480224470483,5.372925077165876,20
431,4,-323.49999999999994,0.16385497837970714,5.432622075080872,20
432,6,-130.85,0.163363413444568,4.325797486305237,20
433,3,-208.6,0.1628733232042343,5.9897211619785855,20
434,16,-592.9999999999997,0.16238470323462162,4.12034351295895,20
435,21,-709.9500000000002,0.16189754912491774,4.757572759752688,21
436,9,-340.4,0.161411856477543,5.433068716526032,21
437,8,-374.3999999999999,0.16092762090811036,4.375439135651839,21
438,3,-323.0,0.16044483804538603,4.46035315990448,21
439,7,-316.20000000000005,0.15996350353124988,5.4168116599321365,21
440,2,-159.0,0.15948361302065614,4.260522699356079,21
441,3,-206.20000000000002,0.15900516218159416,5.037462098257882,21
442,10,-196.09999999999994,0.1585281466950494,5.204749037237728,21
443,8,-278.4999999999999,0.15805256225496425,5.501798685859232,21
444,2,-186.95,0.15757840456819935,5.1160952091217045,21
445,6,-360.00000000000006,0.15710566935449474,5.441853418946266,21
446,8,-426.9500000000001,0.15663435234643125,5.454837423563004,21
447,5,-469.3999999999999,0.15616444928939197,5.305986046791077,21
448,9,-324.19999999999993,0.1556959559415238,4.646467703580856,21
449,6,-174.2,0.15522886807369923,4.762381577491761,21
450,3,-276.1,0.15476318146947812,4.337751793861389,21
451,6,-181.64999999999998,0.15429889192506968,4.340950667858124,21
452,9,-375.84999999999985,0.15383599524929448,5.307288430985951,21
453,4,-165.2,0.1533744872635466,4.949473559856415,21
454,6,-235.65,0.15291436380175596,5.029672106107076,21
455,3,-215.9,0.1524556207103507,5.548613458871841,21
456,4,-108.85,0.15199825384821966,5.631901550292969,21
457,1,-130.6,0.151542259086675,5.940460840861003,21
458,4,-224.34999999999997,0.151087632309415,3.9962580733829074,21
459,2,-167.89999999999998,0.15063436941248676,3.867090082168579,21
460,6,-128.85,0.1501824663042493,4.463719427585602,21
461,15,-1050.400000000001,0.14973191890533655,4.953521807556567,21
